game,avg_count,avg_reward,avg_jabuka,vrijeme
3633,195.5188311689829,0.1063735273572505,21.25960501844015,26.310635089874268
3634,195.34364285729308,0.10643338758929598,21.25700896825575,23.685423612594604
3635,195.78020642872013,0.10641507881800553,21.304438878573194,32.190635204315186
3636,195.85240436443294,0.10628688862095848,21.29139448978746,26.993726015090942
3637,196.1238803207886,0.10647962511591481,21.368480544889586,30.623974323272705
3638,196.7826415175807,0.1064071952769694,21.42479573944069,34.99172639846802
3639,196.80481510240492,0.10649890221867207,21.450547782046282,27.17665672302246
3640,196.13676695138088,0.10681852858110073,21.42604230422582,17.458888053894043
3641,196.51539928186708,0.10669051423546067,21.441781881183562,31.179369688034058
3642,196.5102452890484,0.1065929968482081,21.427364062371726,26.44427227973938
3643,195.85514283615794,0.10667210504766494,21.37309042174801,17.55807328224182
3644,196.22659140779638,0.10689293764525695,21.469359517530528,31.17770481109619
3645,195.87432549371843,0.10700413249240687,21.454665922355222,21.5851948261261
3646,195.47558223878124,0.10702383475722639,21.42011926313167,20.90912652015686
3647,196.0608264163934,0.10697721845689823,21.475918070500352,33.805240869522095
3648,195.82021815222947,0.10701209743511994,21.46115888979535,23.071272373199463
3649,196.08201597070718,0.10715819267698495,21.5265473008974,30.03020668029785
3650,194.29119581100008,0.10667484604433275,21.331281827888425,2.3605377674102783
3651,194.46828385289007,0.10664583343294602,21.347969009609542,28.38753604888916
3652,195.69360101436115,0.10646265585571435,21.424489319513444,42.99342322349548
3653,194.82666500421755,0.10677417608614803,21.37024442631831,14.638290882110596
3654,195.7083983541754,0.10658982655143497,21.416541982055126,38.13942813873291
3655,194.78131437063362,0.10678606420825071,21.342376562234573,14.093774795532227
3656,195.6335012269273,0.10653963213759678,21.368952796612227,44.092888593673706
3657,195.37716621465802,0.10659188287504434,21.355263268646105,28.496015787124634
3658,193.50339455251145,0.1055259640462939,21.151710635959645,1.2990937232971191
3659,192.54836060698634,0.10600131665072893,21.10019352960005,16.35561513900757
3660,192.69287700091647,0.10590748705910086,21.09919159430405,32.61167335510254
3661,192.3159482309073,0.10607421864012276,21.088199678361008,21.134281873703003
3662,191.83278874859823,0.10626347645372153,21.0673176815774,19.156208515167236
3663,192.63446086111225,0.10615672404212549,21.126644504761625,36.58849787712097
3664,193.76811625250113,0.10601018948144281,21.205378059714008,40.87714600563049
3665,193.9304350899761,0.10609294472948552,21.243324279116866,28.376637935638428
3666,193.68113073907634,0.10615627563722026,21.230891036325698,22.535810232162476
3667,193.70431943168558,0.10606410063595009,21.21858212596244,26.20814299583435
3668,193.53727623736873,0.10596391160699173,21.186396304702814,23.905322551727295
3669,191.991903474995,0.10618632377297309,21.034532341655783,5.19950795173645
3670,191.49198444024506,0.10632164363383491,21.004187018239225,18.985703229904175
3671,190.00706459584262,0.10665377603470587,20.86414514805683,5.9424521923065186
3672,190.5969939498842,0.10651093305347528,20.895503696576263,33.90030646324158
3673,191.88102401038535,0.1062608707448841,20.9565486596105,42.946412563323975
3674,192.47221377028148,0.10619427797369024,21.006983173014397,33.6006920337677
3675,193.12749163257868,0.10610132744201535,21.056913341284254,34.714014530181885
3676,193.8862167162529,0.1058581580337662,21.07634420787141,35.89133810997009
3677,194.04735454909036,0.10594243359628568,21.115580765792696,28.31567668914795
3678,193.95688100359945,0.10591003628734985,21.104424958134768,24.868757009506226
3679,194.44731219356345,0.105838590245464,21.14338070855342,32.780186891555786
