game,avg_loss
343,31.9493359961699
344,31.78638448031343
345,31.621067853604117
346,31.456374507484337
347,31.29217198741906
348,31.12840853901124
349,30.969663259082658
350,30.80754644108437
351,30.64663913545867
352,30.482647691972737
353,30.32025646750987
354,30.157011013526795
355,29.995263357408952
356,29.833662611451995
357,29.674350442526944
358,29.516007909361207
359,29.357578331306122
360,29.199353738698193
361,29.04241709167912
362,28.887487672279825
363,28.732202803782318
364,28.581210686358148
365,28.4279875074348
366,28.27551305356941
367,28.12314528425264
368,27.971827842967922
369,27.823042167981168
370,27.669526891028227
371,27.521083915268168
372,27.373481114618645
373,27.226272102938534
374,27.08068258252592
375,26.939122085797866
376,26.795583048522353
377,26.653577762665023
378,26.512832731084735
379,26.37138720958613
380,26.23447454020994
381,26.09421217879719
382,25.96138014411172
383,25.823655412487863
384,25.688585062846315
385,25.553622769869214
386,25.421161830186538
387,25.288562347458672
388,25.158072547702865
389,25.0256756355422
390,24.895241187525528
391,24.768333077738262
392,24.641857128382686
393,24.51191679302685
394,24.38791732277798
395,24.26165852887766
396,24.137100249989857
397,24.010763160536676
398,23.88604039018035
399,23.76415651824497
400,23.642517135306086
401,23.521712984750245
402,23.40378735192547
403,23.28439274418713
404,23.167207106225003
405,23.048560245570627
406,22.93352804452027
407,22.823801336269383
408,22.70906555990649
409,22.591900895640386
410,22.477028889069818
411,22.362407188793227
412,22.249088131458375
413,22.137268888767572
414,22.025717437029385
415,21.917490112210128
416,21.80900237935069
417,21.70030250983533
418,21.594204911002926
419,21.48836125908853
420,21.382251837671692
421,21.278629944471945
422,21.174254850133277
423,21.071689793920424
424,20.968688434416848
425,20.86691755793787
426,20.764513712649077
427,20.662503032662162
428,20.560508781230748
429,20.464201992930896
430,20.367543964488448
431,20.271052852199446
432,20.172360103966533
433,20.07318977661402
434,19.97569826753197
435,19.880629974329327
436,19.788281175778057
437,19.695973933442936
438,19.603806174743518
439,19.514004806264587
440,19.422613115298184
441,19.330803197643444
442,19.24148935747792
443,19.152659390611568
444,19.065124580974903
445,18.977150387992072
446,18.8893863558855
447,18.80214466759305
448,18.717463491743185
449,18.630957991350776
450,18.544283521804825
451,18.459968660287434
452,18.37580613953317
453,18.29217387470665
454,18.209279222123104
455,18.127521876790514
456,18.047961430115784
457,17.967228808369036
458,17.88796655348033
459,17.808366066359063
460,17.72352100741793
461,17.646598782046716
